                        Flux (/cm^2/1E21p.o.t/50MeV)
Bin#    Energy (GeV)    numu            anti-numu       nue             anti-nue
35       1.70- 1.75     2.29e+04        5.92e+03        1.20e+03        2.96e+02
36       1.75- 1.80     2.22e+04        5.14e+03        1.16e+03        2.90e+02
37       1.80- 1.85     2.08e+04        4.76e+03        1.12e+03        2.81e+02
38       1.85- 1.90     1.99e+04        5.03e+03        1.11e+03        2.77e+02
39       1.90- 1.95     1.84e+04        4.42e+03        1.08e+03        2.71e+02
40       1.95- 2.00     1.68e+04        4.16e+03        1.06e+03        2.56e+02
41       2.00- 2.05     1.62e+04        4.07e+03        1.03e+03        2.57e+02
42       2.05- 2.10     1.55e+04        4.07e+03        1.00e+03        2.54e+02
43       2.10- 2.15     1.49e+04        3.77e+03        9.97e+02        2.36e+02
44       2.15- 2.20     1.40e+04        3.64e+03        9.49e+02        2.33e+02
45       2.20- 2.25     1.37e+04        3.01e+03        9.34e+02        2.27e+02
46       2.25- 2.30     1.34e+04        3.04e+03        9.07e+02        2.16e+02
47       2.30- 2.35     1.29e+04        2.93e+03        8.88e+02        2.11e+02
48       2.35- 2.40     1.26e+04        3.21e+03        8.72e+02        2.01e+02
49       2.40- 2.45     1.18e+04        2.52e+03        8.43e+02        1.99e+02
50       2.45- 2.50     1.17e+04        2.38e+03        8.18e+02        1.89e+02
51       2.50- 2.55     1.15e+04        2.42e+03        7.95e+02        1.84e+02
52       2.55- 2.60     1.10e+04        2.12e+03        7.77e+02        1.71e+02
53       2.60- 2.65     1.11e+04        2.26e+03        7.63e+02        1.74e+02
54       2.65- 2.70     1.08e+04        2.06e+03        7.25e+02        1.83e+02
55       2.70- 2.75     1.01e+04        2.09e+03        7.14e+02        1.63e+02
56       2.75- 2.80     1.02e+04        1.88e+03        6.95e+02        1.58e+02
57       2.80- 2.85     1.02e+04        1.71e+03        6.70e+02        1.50e+02
58       2.85- 2.90     1.01e+04        1.73e+03        6.52e+02        1.47e+02
59       2.90- 2.95     9.91e+03        1.58e+03        6.25e+02        1.42e+02
60       2.95- 3.00     9.94e+03        1.50e+03        6.05e+02        1.40e+02
61       3.00- 3.05     9.52e+03        1.44e+03        5.83e+02        1.38e+02
62       3.05- 3.10     9.79e+03        1.38e+03        5.68e+02        1.27e+02
63       3.10- 3.15     9.17e+03        1.49e+03        5.52e+02        1.26e+02
64       3.15- 3.20     9.61e+03        1.24e+03        5.31e+02        1.16e+02
65       3.20- 3.25     9.15e+03        1.22e+03        4.98e+02        1.19e+02
66       3.25- 3.30     9.35e+03        1.24e+03        4.92e+02        1.13e+02
67       3.30- 3.35     9.17e+03        1.02e+03        4.83e+02        1.16e+02
68       3.35- 3.40     8.83e+03        1.09e+03        4.61e+02        1.05e+02
69       3.40- 3.45     8.84e+03        1.04e+03        4.42e+02        9.87e+01
70       3.45- 3.50     9.01e+03        1.06e+03        4.22e+02        1.01e+02
71       3.50- 3.55     8.79e+03        8.58e+02        3.98e+02        8.73e+01
72       3.55- 3.60     8.81e+03        9.16e+02        3.82e+02        9.18e+01
73       3.60- 3.65     8.55e+03        8.72e+02        3.68e+02        8.56e+01
74       3.65- 3.70     8.50e+03        7.44e+02        3.63e+02        9.11e+01
75       3.70- 3.75     8.73e+03        7.87e+02        3.45e+02        8.27e+01
76       3.75- 3.80     8.47e+03        7.09e+02        3.39e+02        8.02e+01
77       3.80- 3.85     8.26e+03        7.92e+02        3.05e+02        7.37e+01
78       3.85- 3.90     8.33e+03        7.60e+02        3.02e+02        7.16e+01
79       3.90- 3.95     8.14e+03        7.24e+02        2.87e+02        7.68e+01
80       3.95- 4.00     7.95e+03        6.59e+02        2.77e+02        7.06e+01
81       4.00- 4.05     7.89e+03        7.48e+02        2.68e+02        7.04e+01
82       4.05- 4.10     7.89e+03        7.15e+02        2.54e+02        6.48e+01
83       4.10- 4.15     7.81e+03        5.23e+02        2.51e+02        6.64e+01
84       4.15- 4.20     7.61e+03        5.57e+02        2.25e+02        5.58e+01
85       4.20- 4.25     7.51e+03        5.45e+02        2.21e+02        5.60e+01
86       4.25- 4.30     7.44e+03        5.22e+02        2.07e+02        5.24e+01
87       4.30- 4.35     7.22e+03        5.53e+02        2.07e+02        6.28e+01
88       4.35- 4.40     7.14e+03        4.90e+02        1.99e+02        5.40e+01
89       4.40- 4.45     7.06e+03        4.15e+02        1.78e+02        4.62e+01
90       4.45- 4.50     6.84e+03        4.77e+02        1.74e+02        4.48e+01
91       4.50- 4.55     6.64e+03        5.47e+02        1.74e+02        4.45e+01
92       4.55- 4.60     6.42e+03        5.33e+02        1.65e+02        4.39e+01
93       4.60- 4.65     6.28e+03        5.15e+02        1.59e+02        4.59e+01
94       4.65- 4.70     6.14e+03        4.13e+02        1.50e+02        4.35e+01
95       4.70- 4.75     5.80e+03        3.36e+02        1.52e+02        4.27e+01
96       4.75- 4.80     5.65e+03        3.83e+02        1.37e+02        4.00e+01
97       4.80- 4.85     5.60e+03        3.86e+02        1.46e+02        3.71e+01
98       4.85- 4.90     5.32e+03        3.48e+02        1.29e+02        3.90e+01
99       4.90- 4.95     4.85e+03        3.20e+02        1.23e+02        3.50e+01
100      4.95- 5.00     4.85e+03        2.76e+02        1.30e+02        3.83e+01
101      5.00- 5.05     4.67e+03        4.04e+02        1.18e+02        3.10e+01
102      5.05- 5.10     4.46e+03        3.24e+02        1.20e+02        3.42e+01
103      5.10- 5.15     4.41e+03        3.26e+02        1.03e+02        3.15e+01
104      5.15- 5.20     4.23e+03        3.43e+02        9.75e+01        2.87e+01
105      5.20- 5.25     4.06e+03        3.03e+02        9.21e+01        2.81e+01
106      5.25- 5.30     3.94e+03        2.79e+02        9.05e+01        2.54e+01
107      5.30- 5.35     3.71e+03        3.12e+02        9.05e+01        2.67e+01
108      5.35- 5.40     3.47e+03        2.80e+02        8.22e+01        2.59e+01
109      5.40- 5.45     3.54e+03        2.54e+02        8.27e+01        2.68e+01
110      5.45- 5.50     3.35e+03        2.11e+02        7.74e+01        2.23e+01
111      5.50- 5.55     3.26e+03        2.45e+02        7.62e+01        2.19e+01
112      5.55- 5.60     3.21e+03        1.80e+02        6.99e+01        2.18e+01
113      5.60- 5.65     3.07e+03        2.30e+02        7.14e+01        2.38e+01
114      5.65- 5.70     2.93e+03        1.93e+02        6.85e+01        2.21e+01
115      5.70- 5.75     2.89e+03        1.89e+02        6.21e+01        1.71e+01
116      5.75- 5.80     2.70e+03        2.07e+02        6.25e+01        1.98e+01
117      5.80- 5.85     2.65e+03        1.85e+02        6.16e+01        1.78e+01
118      5.85- 5.90     2.52e+03        1.56e+02        5.38e+01        1.71e+01
119      5.90- 5.95     2.53e+03        1.94e+02        6.00e+01        1.96e+01
120      5.95- 6.00     2.46e+03        1.87e+02        5.30e+01        1.61e+01
121      6.00- 6.05     2.44e+03        1.60e+02        5.13e+01        1.78e+01
122      6.05- 6.10     2.27e+03        1.67e+02        5.34e+01        1.76e+01
123      6.10- 6.15     2.17e+03        1.51e+02        4.67e+01        1.29e+01
124      6.15- 6.20     2.18e+03        1.77e+02        4.40e+01        1.28e+01
125      6.20- 6.25     2.07e+03        1.51e+02        4.01e+01        1.24e+01
126      6.25- 6.30     2.15e+03        1.25e+02        4.42e+01        1.40e+01
127      6.30- 6.35     2.00e+03        1.62e+02        3.88e+01        1.48e+01
128      6.35- 6.40     1.95e+03        1.83e+02        3.96e+01        1.26e+01
129      6.40- 6.45     1.85e+03        1.05e+02        3.71e+01        1.17e+01
130      6.45- 6.50     1.80e+03        1.84e+02        3.57e+01        1.21e+01
131      6.50- 6.55     1.77e+03        1.29e+02        3.49e+01        1.13e+01
132      6.55- 6.60     1.73e+03        1.06e+02        3.26e+01        1.20e+01
133      6.60- 6.65     1.66e+03        1.22e+02        3.30e+01        1.26e+01
134      6.65- 6.70     1.61e+03        1.77e+02        3.04e+01        9.61e+00
135      6.70- 6.75     1.58e+03        1.17e+02        2.79e+01        7.62e+00
136      6.75- 6.80     1.53e+03        1.04e+02        2.89e+01        9.82e+00
137      6.80- 6.85     1.56e+03        1.34e+02        2.75e+01        8.77e+00
138      6.85- 6.90     1.46e+03        1.15e+02        2.69e+01        1.07e+01
139      6.90- 6.95     1.38e+03        9.08e+01        2.42e+01        7.71e+00
140      6.95- 7.00     1.38e+03        1.52e+02        2.23e+01        6.39e+00
141      7.00- 7.05     1.33e+03        9.31e+01        2.09e+01        6.83e+00
142      7.05- 7.10     1.26e+03        9.15e+01        2.09e+01        7.11e+00
143      7.10- 7.15     1.25e+03        1.08e+02        2.17e+01        6.34e+00
144      7.15- 7.20     1.21e+03        8.42e+01        2.22e+01        7.60e+00
145      7.20- 7.25     1.16e+03        1.11e+02        2.49e+01        9.84e+00
146      7.25- 7.30     1.17e+03        1.27e+02        1.92e+01        7.28e+00
147      7.30- 7.35     1.09e+03        1.09e+02        2.11e+01        8.48e+00
148      7.35- 7.40     1.05e+03        7.62e+01        1.75e+01        6.09e+00
149      7.40- 7.45     1.07e+03        1.05e+02        1.60e+01        5.78e+00
150      7.45- 7.50     1.04e+03        9.27e+01        1.82e+01        6.24e+00
151      7.50- 7.55     9.35e+02        8.92e+01        1.51e+01        5.37e+00
152      7.55- 7.60     1.01e+03        9.55e+01        1.48e+01        6.00e+00
153      7.60- 7.65     9.81e+02        9.53e+01        1.48e+01        4.11e+00
154      7.65- 7.70     8.65e+02        6.98e+01        1.25e+01        4.55e+00
155      7.70- 7.75     8.89e+02        6.49e+01        1.38e+01        4.06e+00
156      7.75- 7.80     8.29e+02        6.00e+01        1.30e+01        3.53e+00
157      7.80- 7.85     8.63e+02        5.81e+01        1.35e+01        5.68e+00
158      7.85- 7.90     8.31e+02        6.48e+01        1.14e+01        3.54e+00
159      7.90- 7.95     7.71e+02        5.56e+01        1.05e+01        4.06e+00
160      7.95- 8.00     7.47e+02        5.55e+01        1.30e+01        4.35e+00
161      8.00- 8.05     7.74e+02        5.67e+01        1.00e+01        2.57e+00
162      8.05- 8.10     6.93e+02        5.64e+01        1.11e+01        4.06e+00
163      8.10- 8.15     7.04e+02        5.26e+01        1.04e+01        2.42e+00
164      8.15- 8.20     6.65e+02        4.66e+01        9.16e+00        2.91e+00
165      8.20- 8.25     6.75e+02        7.30e+01        9.76e+00        3.77e+00
166      8.25- 8.30     6.50e+02        4.33e+01        9.34e+00        3.53e+00
167      8.30- 8.35     6.12e+02        4.44e+01        9.05e+00        2.32e+00
168      8.35- 8.40     6.14e+02        4.34e+01        7.95e+00        4.31e+00
169      8.40- 8.45     5.73e+02        4.83e+01        8.05e+00        3.05e+00
170      8.45- 8.50     5.78e+02        6.54e+01        7.28e+00        1.87e+00
171      8.50- 8.55     5.43e+02        4.11e+01        9.70e+00        4.21e+00
172      8.55- 8.60     5.11e+02        4.22e+01        6.61e+00        1.42e+00
173      8.60- 8.65     5.03e+02        3.84e+01        6.25e+00        2.21e+00
174      8.65- 8.70     5.42e+02        4.88e+01        5.90e+00        1.70e+00
175      8.70- 8.75     4.80e+02        3.80e+01        7.00e+00        2.49e+00
176      8.75- 8.80     4.80e+02        3.69e+01        2.44e+01        3.43e+00
177      8.80- 8.85     4.62e+02        5.76e+01        6.41e+00        2.37e+00
178      8.85- 8.90     4.37e+02        4.16e+01        6.57e+00        2.29e+00
179      8.90- 8.95     4.40e+02        2.77e+01        6.64e+00        1.88e+00
180      8.95- 9.00     4.08e+02        4.00e+01        4.78e+00        1.56e+00
181      9.00- 9.05     3.92e+02        3.31e+01        7.02e+00        2.38e+00
182      9.05- 9.10     4.06e+02        3.90e+01        5.55e+00        2.51e+00
183      9.10- 9.15     3.85e+02        3.18e+01        3.22e+00        1.16e+00
184      9.15- 9.20     3.72e+02        3.45e+01        3.78e+00        4.65e-01
185      9.20- 9.25     3.61e+02        4.46e+01        2.11e+01        9.41e-01
186      9.25- 9.30     3.58e+02        2.84e+01        4.50e+00        1.94e+00
187      9.30- 9.35     3.23e+02        2.50e+01        3.85e+00        1.21e+00
188      9.35- 9.40     3.05e+02        3.60e+01        3.38e+00        1.14e+00
189      9.40- 9.45     3.34e+02        3.35e+01        3.75e+00        1.27e+00
190      9.45- 9.50     3.09e+02        2.75e+01        4.44e+00        1.32e+00
191      9.50- 9.55     2.81e+02        3.33e+01        3.69e+00        8.18e-01
192      9.55- 9.60     3.15e+02        2.49e+01        2.88e+00        1.15e+00
193      9.60- 9.65     2.80e+02        2.73e+01        2.33e+00        9.44e-01
194      9.65- 9.70     2.61e+02        2.40e+01        2.46e+00        1.01e+00
195      9.70- 9.75     2.91e+02        1.77e+01        2.52e+00        1.07e+00
196      9.75- 9.80     2.55e+02        2.16e+01        3.50e+00        1.47e+00
197      9.80- 9.85     2.16e+02        2.26e+01        3.69e+00        2.08e+00
198      9.85- 9.90     2.35e+02        1.97e+01        2.38e+00        6.53e-01
199      9.90- 9.95     2.46e+02        1.90e+01        2.41e+00        6.30e-01
200      9.95-10.00     2.31e+02        2.38e+01        3.36e+00        1.10e+00
201     10.00-11.00     1.74e+02        1.30e+01        1.70e+00        4.97e-01
202     11.00-12.00     1.00e+02        7.20e+00        8.34e-01        2.60e-01
203     12.00-13.00     5.64e+01        4.66e+00        4.25e-01        1.91e-01
204     13.00-14.00     3.06e+01        2.56e+00        1.69e-01        5.20e-02
205     14.00-15.00     1.60e+01        1.40e+00        3.57e-02        3.95e-02
206     15.00-16.00     1.02e+01        1.77e+00        2.36e-02        2.22e-02
207     16.00-17.00     5.49e+00        4.64e-01        7.00e-02        6.07e-02
208     17.00-18.00     2.42e+00        4.36e-01        0.00e+00        0.00e+00
209     18.00-19.00     1.68e+00        1.12e-01        0.00e+00        0.00e+00
210     19.00-20.00     9.74e-01        0.00e+00        0.00e+00        0.00e+00
211     20.00-21.00     1.41e-01        2.03e-03        0.00e+00        0.00e+00
212     21.00-22.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
213     22.00-23.00     1.16e-01        0.00e+00        0.00e+00        0.00e+00
214     23.00-24.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
215     24.00-25.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
216     25.00-26.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
217     26.00-27.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
218     27.00-28.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
219     28.00-29.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
220     29.00-30.00     0.00e+00        0.00e+00        0.00e+00        0.00e+00
